"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"ST_TURNO";"TP_PRESTACAO_CONTAS";"DT_PRESTACAO_CONTAS";"SQ_PRESTADOR_CONTAS";"SG_UF";"DS_TIPO_DOCUMENTO";"NR_DOCUMENTO";"CD_FONTE_DESPESA";"DS_FONTE_DESPESA";"CD_ORIGEM_DESPESA";"DS_ORIGEM_DESPESA";"CD_NATUREZA_DESPESA";"DS_NATUREZA_DESPESA";"CD_ESPECIE_RECURSO";"DS_ESPECIE_RECURSO";"SQ_DESPESA";"SQ_PARCELAMENTO_DESPESA";"DT_PAGTO_DESPESA";"DS_DESPESA";"VR_PAGTO_DESPESA"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"100822";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669498";"14737983";"08/10/2018";"Despesas com pessoal";"1284,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Nota Fiscal";"553599000434400";"2";"Fundo Especial de Financiamento de Campanha";"20140000";"Publicidade por materiais impressos";"1";"Financeiro";"1";"Financeiro";"22669308";"14738050";"18/09/2018";"Publicidade por materiais impressos";"468192,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"103003";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669631";"14738298";"30/10/2018";"Despesas com pessoal";"7000,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"100919";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669459";"14737723";"09/10/2018";"Despesas com pessoal";"400,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Nota Fiscal";"#NULO#";"1";"Outros Recursos";"20120000";"Serviços prestados por terceiros";"1";"Financeiro";"1";"Financeiro";"22669968";"14737745";"05/10/2018";"Serviços prestados por terceiros";"300,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"101024";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669468";"14737790";"10/10/2018";"Despesas com pessoal";"200,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"100963";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669684";"14737862";"09/10/2018";"Despesas com pessoal";"200,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"101513";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669539";"14738260";"15/10/2018";"Despesas com pessoal";"200,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"#NULO#";"#NULO#";"1";"Outros Recursos";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"22669637";"14737548";"28/08/2018";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1,05"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"100812";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669958";"14737678";"08/10/2018";"Despesas com pessoal";"400,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"100977";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669963";"14737711";"09/10/2018";"Despesas com pessoal";"200,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Nota Fiscal";"#NULO#";"1";"Outros Recursos";"20150000";"Alimentação";"1";"Financeiro";"1";"Financeiro";"22669463";"14737747";"08/10/2018";"Alimentação";"1223,16"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Nota Fiscal";"100505";"2";"Fundo Especial de Financiamento de Campanha";"20120000";"Serviços prestados por terceiros";"1";"Financeiro";"1";"Financeiro";"22669489";"14737929";"05/10/2018";"Serviços prestados por terceiros";"90000,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"92826";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669707";"14738075";"28/09/2018";"Despesas com pessoal";"1000,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"92871";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669802";"14738096";"28/09/2018";"Despesas com pessoal";"7180,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Fatura";"102908";"1";"Outros Recursos";"20050000";"Despesas com transporte ou deslocamento";"1";"Financeiro";"1";"Financeiro";"22669630";"14738293";"29/10/2018";"Despesas com transporte ou deslocamento";"302,72"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Nota Fiscal";"118900000035689";"0";"Fundo Partidário";"20120000";"Serviços prestados por terceiros";"1";"Financeiro";"1";"Financeiro";"22669757";"14737660";"01/10/2018";"Serviços prestados por terceiros";"20000,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"100935";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669761";"14737739";"09/10/2018";"Despesas com pessoal";"400,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"550123000025698";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669280";"14737805";"11/10/2018";"Despesas com pessoal";"1000,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"102301";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669991";"14737904";"23/10/2018";"Despesas com pessoal";"200,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"#NULO#";"#NULO#";"1";"Outros Recursos";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"22669743";"14737551";"28/08/2018";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1,15"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"100915";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669965";"14737719";"09/10/2018";"Despesas com pessoal";"400,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"100916";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669365";"14737720";"09/10/2018";"Despesas com pessoal";"400,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Nota Fiscal";"551231000071055";"1";"Outros Recursos";"20070000";"Locação/cessão de bens móveis (exceto veículos)";"1";"Financeiro";"1";"Financeiro";"22669852";"14737746";"05/10/2018";"Locação/cessão de bens móveis (exceto veículos)";"270,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"551423000030239";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669890";"14737996";"15/10/2018";"Despesas com pessoal";"860,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"553521000014896";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669914";"14738161";"31/08/2018";"Despesas com pessoal";"5000,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"#NULO#";"#NULO#";"1";"Outros Recursos";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"22669931";"14737526";"23/08/2018";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1,05"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Fatura";"100102";"0";"Fundo Partidário";"20900000";"Passagem Aérea";"1";"Financeiro";"1";"Financeiro";"22669652";"14737649";"01/10/2018";"GRAVAR VÍDEOS CANDIDATOS E AGENDA MARINA SILVA";"1025,26"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"13000000055501";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669804";"14738104";"28/09/2018";"Despesas com pessoal";"2680,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"166300000016686";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669713";"14738114";"28/09/2018";"Despesas com pessoal";"6730,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"553380000019219";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22670019";"14738155";"31/08/2018";"Despesas com pessoal";"13500,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"83110";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22670026";"14738184";"31/08/2018";"Despesas com pessoal";"4860,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"100945";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669335";"14738244";"09/10/2018";"Despesas com pessoal";"400,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"#NULO#";"#NULO#";"1";"Outros Recursos";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"22669246";"14737538";"27/08/2018";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"10,15"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"#NULO#";"#NULO#";"1";"Outros Recursos";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"22669550";"14737596";"10/09/2018";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"10,15"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Nota Fiscal";"551419000023720";"1";"Outros Recursos";"20090000";"Materiais de expediente";"1";"Financeiro";"1";"Financeiro";"22669647";"14737609";"18/09/2018";"Materiais de expediente";"6,30"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"#NULO#";"#NULO#";"2";"Fundo Especial de Financiamento de Campanha";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"22669953";"14737646";"04/10/2018";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"10,15"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"101002";"1";"Outros Recursos";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669971";"14737769";"10/10/2018";"Despesas com pessoal";"400,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"92808";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669506";"14738066";"28/09/2018";"Despesas com pessoal";"7180,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"92843";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669511";"14738080";"28/09/2018";"Despesas com pessoal";"1680,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"#NULO#";"#NULO#";"1";"Outros Recursos";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"22669934";"14737532";"27/08/2018";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1,05"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"#NULO#";"#NULO#";"1";"Outros Recursos";"20210000";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"1";"Financeiro";"1";"Financeiro";"22669956";"14737666";"05/10/2018";"Encargos financeiros, taxas bancárias e/ou op. cartão de crédito";"2,30"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Nota Fiscal";"92002";"2";"Fundo Especial de Financiamento de Campanha";"20120000";"Serviços prestados por terceiros";"1";"Financeiro";"1";"Financeiro";"22669704";"14738054";"20/09/2018";"Serviços prestados por terceiros";"1440,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"92823";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669509";"14738074";"28/09/2018";"Despesas com pessoal";"7180,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"06/11/2018";"427246663";"BR";"Outro";"92866";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22669801";"14738094";"28/09/2018";"Despesas com pessoal";"6880,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"05/11/2018";"427249445";"BR";"RPA - Recibo de Pagamento Autônomo";"850043";"2";"Fundo Especial de Financiamento de Campanha";"20800000";"Atividades de militância e mobilização de rua";"1";"Financeiro";"1";"Financeiro";"22162103";"14185382";"05/10/2018";"Atividades de militância e mobilização de rua";"1200,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"05/11/2018";"427249445";"BR";"Nota Fiscal";"850008";"2";"Fundo Especial de Financiamento de Campanha";"20600000";"Cessão ou locação de veículos";"1";"Financeiro";"1";"Financeiro";"22162107";"14185330";"10/09/2018";"Cessão ou locação de veículos";"8225,00"
"24/11/2018";"23:27:00";"2018";"2";"Ordinária";"295";"Eleição Geral Federal 2018";"07/10/2018";"1";"Final";"05/11/2018";"427249445";"BR";"RPA - Recibo de Pagamento Autônomo";"850066";"2";"Fundo Especial de Financiamento de Campanha";"20010000";"Despesas com pessoal";"1";"Financeiro";"1";"Financeiro";"22162081";"14185409";"05/10/2018";"Despesas com pessoal";"500,00"
